invoice_id,client_id,client_industry,invoice_amount,payment_terms_days,invoice_day_of_week,invoice_day_of_month,invoice_month,days_since_invoice_sent,client_avg_days_to_pay,client_late_payment_rate,client_total_invoices_before_this,amount_vs_client_avg,is_repeat_client,payment_status
INV-10126,CL-1025,Development,92600.0,30,1,25,8,72,18.7,0.05,2,0.64,True,very_late
INV-10127,CL-1026,Marketing,353100.0,30,2,1,8,41,15.3,0.05,2,2.1,True,late
INV-10128,CL-1027,Consulting,9400.0,15,2,26,5,43,46.5,0.833,2,0.59,True,late
INV-10129,CL-1028,Photography,373900.0,45,5,9,9,1,25.9,0.05,2,1.56,True,on_time
INV-10130,CL-1029,Copywriting,186900.0,15,0,8,12,52,22.5,0.05,2,1.17,True,very_late
INV-10131,CL-1030,Design,253000.0,15,5,16,11,62,25.3,0.05,2,0.72,True,very_late
INV-10132,CL-1031,Development,43700.0,15,0,10,4,51,24.2,0.05,2,0.32,True,very_late
INV-10133,CL-1032,Marketing,22000.0,30,5,19,6,60,53.0,0.167,2,0.92,True,late
INV-10134,CL-1033,Consulting,500000.0,30,3,24,9,42,27.6,0.05,2,1.43,True,on_time
INV-10135,CL-1034,Photography,123400.0,30,2,10,5,29,19.3,0.05,2,0.86,True,on_time
INV-10136,CL-1035,Copywriting,357700.0,15,2,4,12,68,21.7,0.05,2,1.66,True,very_late
INV-10137,CL-1036,Design,500000.0,45,1,7,4,61,25.6,0.05,2,1.43,True,on_time
INV-10138,CL-1037,Development,102100.0,45,6,17,10,36,22.7,0.05,2,0.71,True,on_time
INV-10139,CL-1038,Marketing,240200.0,15,2,8,6,22,26.1,0.05,2,1.07,True,on_time
INV-10140,CL-1039,Consulting,41000.0,45,4,5,5,5,38.9,0.167,2,1.02,True,on_time
INV-10141,CL-1040,Photography,49900.0,45,2,23,3,81,23.9,0.05,2,1.04,True,very_late
INV-10142,CL-1041,Copywriting,320600.0,30,0,28,1,73,45.7,0.167,2,1.74,True,very_late
INV-10143,CL-1042,Design,270000.0,30,3,11,3,6,34.7,0.167,2,2.11,True,on_time
INV-10144,CL-1043,Development,129000.0,30,0,27,2,51,18.1,0.05,2,0.95,True,late
INV-10145,CL-1044,Marketing,176500.0,45,5,22,1,19,46.2,0.167,2,1.1,True,on_time
INV-10146,CL-1045,Consulting,66900.0,45,2,3,4,15,17.3,0.05,2,0.93,True,on_time
INV-10147,CL-1046,Photography,19500.0,30,4,20,10,28,63.5,0.833,2,0.81,True,very_late
INV-10148,CL-1047,Copywriting,136000.0,30,3,15,5,75,17.9,0.05,2,1.13,True,very_late
INV-10149,CL-1048,Design,317900.0,30,4,20,1,78,22.9,0.05,2,1.37,True,very_late
INV-10150,CL-1049,Development,465200.0,15,6,7,11,27,19.1,0.05,2,1.33,True,on_time
INV-10151,CL-1000,Design,18000.0,15,1,8,3,70,23.0,0.05,3,0.75,True,very_late
INV-10152,CL-1001,Development,155900.0,15,3,15,12,76,14.4,0.05,3,1.3,True,very_late
INV-10153,CL-1002,Marketing,55600.0,15,1,10,12,36,17.9,0.05,3,0.99,True,late
INV-10154,CL-1003,Consulting,162600.0,30,0,22,4,33,17.1,0.05,3,1.56,True,on_time
INV-10155,CL-1004,Photography,48400.0,45,4,22,4,54,56.0,0.167,3,1.21,True,very_late
INV-10156,CL-1005,Copywriting,37100.0,15,5,5,5,18,23.5,0.05,3,0.93,True,late
INV-10157,CL-1006,Design,117500.0,15,6,10,10,72,58.4,0.333,3,1.34,True,very_late
INV-10158,CL-1007,Development,176900.0,30,0,15,12,38,33.0,0.167,3,1.58,True,on_time
INV-10159,CL-1008,Marketing,264100.0,30,4,18,8,56,19.9,0.05,3,1.27,True,late
INV-10160,CL-1009,Consulting,71700.0,15,3,24,6,77,14.4,0.05,3,1.12,True,very_late
INV-10161,CL-1010,Photography,66200.0,15,1,22,10,75,48.3,0.9,3,1.03,True,very_late
INV-10162,CL-1011,Copywriting,54100.0,45,6,9,10,5,21.1,0.05,3,0.75,True,on_time
INV-10163,CL-1012,Design,45000.0,15,3,17,11,56,14.4,0.05,3,0.7,True,very_late
INV-10164,CL-1013,Development,36000.0,15,4,14,11,62,67.0,0.9,3,1.5,True,very_late
INV-10165,CL-1014,Marketing,199100.0,30,2,14,6,41,23.1,0.05,3,1.24,True,on_time
INV-10166,CL-1015,Consulting,87600.0,15,2,14,12,63,21.6,0.05,3,1.0,True,very_late
INV-10167,CL-1016,Photography,82200.0,30,6,25,9,4,17.1,0.05,3,1.03,True,on_time
INV-10168,CL-1017,Copywriting,33800.0,30,2,11,2,51,22.2,0.05,3,1.41,True,late
INV-10169,CL-1018,Design,119900.0,15,5,28,9,59,25.3,0.05,3,0.75,True,very_late
INV-10170,CL-1019,Development,27700.0,15,4,12,10,63,45.1,0.9,3,1.15,True,late
INV-10171,CL-1020,Marketing,216000.0,15,1,9,9,16,25.3,0.05,3,0.75,True,on_time
INV-10172,CL-1021,Consulting,104600.0,30,5,16,2,3,55.5,0.5,3,1.09,True,on_time
INV-10173,CL-1022,Photography,20400.0,45,6,8,12,20,18.8,0.05,3,0.85,True,on_time
INV-10174,CL-1023,Copywriting,53000.0,15,4,14,2,28,16.2,0.05,3,0.6,True,on_time
INV-10175,CL-1024,Design,174200.0,15,3,4,11,19,27.4,0.05,3,0.78,True,on_time
INV-10176,CL-1025,Development,160600.0,45,2,17,12,34,18.7,0.05,3,1.12,True,on_time
INV-10177,CL-1026,Marketing,226800.0,30,3,8,8,70,15.3,0.05,3,1.35,True,very_late
INV-10178,CL-1027,Consulting,15900.0,15,4,17,12,17,46.5,0.833,3,0.99,True,on_time
INV-10179,CL-1028,Photography,238400.0,30,6,26,7,43,25.9,0.05,3,0.99,True,on_time
INV-10180,CL-1029,Copywriting,179100.0,45,2,27,1,36,22.5,0.05,3,1.12,True,on_time
INV-10181,CL-1030,Design,419800.0,45,4,22,8,19,25.3,0.05,3,1.2,True,on_time
INV-10182,CL-1031,Development,130900.0,30,2,11,9,69,24.2,0.05,3,0.96,True,very_late
INV-10183,CL-1032,Marketing,30600.0,30,6,7,12,30,53.0,0.167,3,1.27,True,on_time
INV-10184,CL-1033,Consulting,378600.0,15,6,25,7,5,27.6,0.05,3,1.08,True,on_time
INV-10185,CL-1034,Photography,149000.0,30,5,26,7,49,19.3,0.05,3,1.03,True,on_time
INV-10186,CL-1035,Copywriting,217900.0,45,1,16,1,16,21.7,0.05,3,1.01,True,on_time
INV-10187,CL-1036,Design,500000.0,45,2,28,2,56,25.6,0.05,3,1.43,True,on_time
INV-10188,CL-1037,Development,306000.0,30,0,24,3,52,22.7,0.05,3,2.12,True,late
INV-10189,CL-1038,Marketing,304000.0,15,0,16,5,43,26.1,0.05,3,1.36,True,late
INV-10190,CL-1039,Consulting,86100.0,30,5,3,6,86,38.9,0.167,3,2.15,True,very_late
INV-10191,CL-1040,Photography,35800.0,30,2,21,12,62,23.9,0.05,3,0.75,True,late
INV-10192,CL-1041,Copywriting,87500.0,15,4,3,4,80,45.7,0.167,3,0.48,True,very_late
INV-10193,CL-1042,Design,98100.0,30,1,24,2,55,34.7,0.167,3,0.77,True,late
INV-10194,CL-1043,Development,153300.0,45,5,28,2,56,18.1,0.05,3,1.13,True,on_time
INV-10195,CL-1044,Marketing,223100.0,30,0,2,6,7,46.2,0.167,3,1.39,True,on_time
INV-10196,CL-1045,Consulting,52600.0,30,3,5,4,67,17.3,0.05,3,0.73,True,very_late
INV-10197,CL-1046,Photography,15100.0,45,6,6,3,22,63.5,0.833,3,0.63,True,very_late
INV-10198,CL-1047,Copywriting,181300.0,30,4,22,4,63,17.9,0.05,3,1.51,True,late
INV-10199,CL-1048,Design,127400.0,15,1,15,11,32,22.9,0.05,3,0.55,True,on_time
INV-10200,CL-1049,Development,336200.0,45,0,26,8,36,19.1,0.05,3,0.96,True,on_time
INV-10201,CL-1000,Design,13700.0,15,0,15,6,75,23.0,0.05,4,0.57,True,very_late
INV-10202,CL-1001,Development,120200.0,30,5,9,8,38,14.4,0.05,4,1.0,True,on_time
INV-10203,CL-1002,Marketing,47800.0,30,6,16,2,30,17.9,0.05,4,0.85,True,on_time
INV-10204,CL-1003,Consulting,71600.0,30,4,10,12,37,17.1,0.05,4,0.69,True,very_late
INV-10205,CL-1004,Photography,41700.0,45,3,9,1,72,56.0,0.167,4,1.04,True,late
INV-10206,CL-1005,Copywriting,51300.0,45,0,20,12,63,23.5,0.05,4,1.28,True,on_time
INV-10207,CL-1006,Design,51400.0,30,6,26,4,77,58.4,0.333,4,0.58,True,very_late
INV-10208,CL-1007,Development,125800.0,15,5,7,10,32,33.0,0.167,4,1.12,True,on_time
INV-10209,CL-1008,Marketing,358000.0,45,6,22,11,17,19.9,0.05,4,1.72,True,on_time
INV-10210,CL-1009,Consulting,96700.0,45,5,2,5,56,14.4,0.05,4,1.51,True,very_late
INV-10211,CL-1010,Photography,131600.0,30,5,5,2,37,48.3,0.9,4,2.06,True,very_late
INV-10212,CL-1011,Copywriting,66000.0,30,1,7,3,69,21.1,0.05,4,0.92,True,very_late
INV-10213,CL-1012,Design,80200.0,30,4,17,5,21,14.4,0.05,4,1.25,True,on_time
INV-10214,CL-1013,Development,17100.0,30,6,10,12,43,67.0,0.9,4,0.71,True,very_late
INV-10215,CL-1014,Marketing,231700.0,30,0,5,4,86,23.1,0.05,4,1.45,True,very_late
INV-10216,CL-1015,Consulting,58200.0,30,6,26,9,46,21.6,0.05,4,0.66,True,on_time
INV-10217,CL-1016,Photography,72800.0,30,0,9,9,15,17.1,0.05,4,0.91,True,on_time
INV-10218,CL-1017,Copywriting,40600.0,45,5,22,5,74,22.2,0.05,4,1.69,True,late
INV-10219,CL-1018,Design,282900.0,45,2,4,11,29,25.3,0.05,4,1.77,True,on_time
INV-10220,CL-1019,Development,13200.0,45,4,11,10,28,45.1,0.9,4,0.55,True,late
INV-10221,CL-1020,Marketing,329400.0,45,6,15,12,38,25.3,0.05,4,1.14,True,on_time
INV-10222,CL-1021,Consulting,46600.0,15,1,2,1,38,55.5,0.5,4,0.49,True,late
INV-10223,CL-1022,Photography,15200.0,15,0,8,9,17,18.8,0.05,4,0.63,True,on_time
INV-10224,CL-1023,Copywriting,100000.0,30,5,24,12,69,16.2,0.05,4,1.14,True,very_late
INV-10225,CL-1024,Design,187100.0,45,5,5,7,83,27.4,0.05,4,0.84,True,very_late
INV-10226,CL-1025,Development,140900.0,30,4,14,5,4,18.7,0.05,4,0.98,True,on_time
INV-10227,CL-1026,Marketing,119000.0,15,3,15,4,46,15.3,0.05,4,0.71,True,late
INV-10228,CL-1027,Consulting,13300.0,45,2,18,11,45,46.5,0.833,4,0.83,True,very_late
INV-10229,CL-1028,Photography,231200.0,30,1,4,8,11,25.9,0.05,4,0.96,True,on_time
INV-10230,CL-1029,Copywriting,131800.0,45,5,20,1,6,22.5,0.05,4,0.82,True,on_time
INV-10231,CL-1030,Design,500000.0,15,1,26,10,26,25.3,0.05,4,1.43,True,on_time
INV-10232,CL-1031,Development,106500.0,45,1,19,4,29,24.2,0.05,4,0.78,True,on_time
INV-10233,CL-1032,Marketing,23100.0,15,6,20,1,35,53.0,0.167,4,0.96,True,on_time
INV-10234,CL-1033,Consulting,433900.0,15,1,18,5,22,27.6,0.05,4,1.24,True,late
INV-10235,CL-1034,Photography,119600.0,15,1,1,6,30,19.3,0.05,4,0.83,True,on_time
INV-10236,CL-1035,Copywriting,196200.0,15,1,9,1,16,21.7,0.05,4,0.91,True,on_time
INV-10237,CL-1036,Design,205900.0,45,0,24,2,60,25.6,0.05,4,0.59,True,on_time
INV-10238,CL-1037,Development,256100.0,30,4,19,2,57,22.7,0.05,4,1.78,True,late
INV-10239,CL-1038,Marketing,274100.0,45,0,24,11,66,26.1,0.05,4,1.22,True,late
INV-10240,CL-1039,Consulting,117500.0,45,0,2,8,51,38.9,0.167,4,2.94,True,on_time
INV-10241,CL-1040,Photography,45900.0,15,3,23,8,9,23.9,0.05,4,0.96,True,on_time
INV-10242,CL-1041,Copywriting,104900.0,30,4,5,2,16,45.7,0.167,4,0.57,True,on_time
INV-10243,CL-1042,Design,98200.0,45,4,18,12,41,34.7,0.167,4,0.77,True,on_time
INV-10244,CL-1043,Development,108500.0,45,4,10,8,64,18.1,0.05,4,0.8,True,on_time
INV-10245,CL-1044,Marketing,288800.0,15,6,23,2,83,46.2,0.167,4,1.8,True,very_late
INV-10246,CL-1045,Consulting,71800.0,45,5,28,4,55,17.3,0.05,4,1.0,True,on_time
INV-10247,CL-1046,Photography,24700.0,15,3,11,8,51,63.5,0.833,4,1.03,True,very_late
INV-10248,CL-1047,Copywriting,204500.0,15,2,14,6,85,17.9,0.05,4,1.7,True,very_late
INV-10249,CL-1048,Design,161400.0,15,5,16,2,11,22.9,0.05,4,0.7,True,on_time
INV-10250,CL-1049,Development,257600.0,15,3,4,12,47,19.1,0.05,4,0.74,True,late
INV-10251,CL-1000,Design,33200.0,45,0,19,9,71,23.0,0.05,5,1.38,True,late
INV-10252,CL-1001,Development,73600.0,15,3,12,11,54,14.4,0.05,5,0.61,True,very_late
INV-10253,CL-1002,Marketing,44600.0,45,0,10,10,39,17.9,0.05,5,0.8,True,on_time
INV-10254,CL-1003,Consulting,84500.0,45,4,7,3,84,17.1,0.05,5,0.81,True,very_late
INV-10255,CL-1004,Photography,40700.0,15,2,28,9,47,56.0,0.167,5,1.02,True,late
INV-10256,CL-1005,Copywriting,44000.0,30,4,8,7,71,23.5,0.05,5,1.1,True,very_late
INV-10257,CL-1006,Design,80900.0,45,4,22,11,71,58.4,0.333,5,0.92,True,very_late
INV-10258,CL-1007,Development,91500.0,45,6,23,5,3,33.0,0.167,5,0.82,True,late
INV-10259,CL-1008,Marketing,247900.0,45,6,10,6,44,19.9,0.05,5,1.19,True,very_late
INV-10260,CL-1009,Consulting,66300.0,15,4,22,7,8,14.4,0.05,5,1.04,True,on_time
INV-10261,CL-1010,Photography,35700.0,45,0,3,12,67,48.3,0.9,5,0.56,True,very_late
INV-10262,CL-1011,Copywriting,57100.0,30,3,11,3,47,21.1,0.05,5,0.79,True,on_time
INV-10263,CL-1012,Design,49000.0,30,6,19,10,10,14.4,0.05,5,0.77,True,on_time
INV-10264,CL-1013,Development,13600.0,15,1,25,10,6,67.0,0.9,5,0.57,True,very_late
INV-10265,CL-1014,Marketing,175200.0,30,3,22,7,62,23.1,0.05,5,1.09,True,late
INV-10266,CL-1015,Consulting,110000.0,30,2,7,9,14,21.6,0.05,5,1.25,True,on_time
INV-10267,CL-1016,Photography,78200.0,15,2,22,11,75,17.1,0.05,5,0.98,True,very_late
INV-10268,CL-1017,Copywriting,19100.0,45,2,2,4,50,22.2,0.05,5,0.8,True,on_time
INV-10269,CL-1018,Design,118400.0,15,0,7,5,27,25.3,0.05,5,0.74,True,on_time
INV-10270,CL-1019,Development,34100.0,30,2,11,2,0,45.1,0.9,5,1.42,True,late
